mu,ber,J
0.001,23.625,0.6337174666570669
0.002,23.55,0.5176496803738713
0.003,22.275,0.4663316376318277
0.004,21.675,0.429139212653805
0.005,21.525,0.4185444653549981
0.006,20.8,0.40892307469338207
0.007,20.25,0.4091647477132225
0.008,20.075,0.4025115054973299
0.009000000000000001,21.325,0.39345689904742337
0.01,20.7,0.38756977584540286
0.02,13.275,0.35704817905602865
0.03,10.35,0.3429630641246264
0.04,13.9,0.3268046188026799
0.05,11.075,0.3184605006962841
0.060000000000000005,14.275,0.3067784378508381
0.06999999999999999,12.95,0.2989959378394177
0.08,14.75,0.30115833148649473
0.09,12.85,0.2971861063945639
0.09999999999999999,15.225,0.29241841593924683
0.11,15.875,0.2848924342933968
0.12,15.975,0.2836880642318036
0.13,16.825,0.28391137398374694
0.14,17.35,0.28580121976102324
0.15000000000000002,17.825,0.2876288721352412
0.16,17.9,0.2887249893932346
0.17,15.625,0.290626770544627
0.18000000000000002,17.975,0.2933738461807264
0.19,16.2,0.29735030012888924
0.2,16.325,0.3012596598515929
0.21000000000000002,15.925,0.3070145715094603
0.22,17.375,0.3043374589230485
0.23,19.125,0.3064540862890355
0.24000000000000002,19.2,0.31082790517431685
0.25,21.875,0.3145312284716414
0.26,21.725,0.3198257312191139
0.27,22.175,0.3241828587653506
0.28,19.175,0.32778715586396123
0.29000000000000004,19.55,0.3315695450593602
0.3,17.475,0.3195616031718064
0.31,17.325,0.32170209062324673
0.32,17.35,0.32549957359113896
0.33,17.35,0.32922506356514014
0.34,17.25,0.3341903461537058
0.35000000000000003,17.7,0.33829957007136024
0.36000000000000004,17.7,0.3423895378113036
0.37,17.8,0.34645747631053964
0.38,17.625,0.35041570024707225
0.39,19.25,0.3545343522532336
0.4,19.7,0.3594328858366252
0.41000000000000003,18.15,0.3613774489651085
0.42000000000000004,18.175,0.3639610974819004
0.43,18.025,0.3684042611361199
0.44,18.0,0.3726128061556691
0.45,20.05,0.376847278317001
0.46,20.45,0.3809259650083004
0.47000000000000003,21.275,0.3852843741740058
0.48000000000000004,19.05,0.38959718383870867
0.49,19.05,0.3938938203905126
0.5,19.175,0.3981659312717247
0.51,23.575,0.40228952827633596
0.52,23.575,0.4066258244609912
0.53,23.575,0.41097874651721644
0.54,23.575,0.41535017891752013
0.55,23.725,0.4195534729871341
0.56,23.2,0.42401215234313083
0.5700000000000001,23.025,0.4239098365824539
0.5800000000000001,23.1,0.42879780327328965
0.59,23.175,0.43371801214740613
0.6,23.475,0.43834894840396005
0.61,24.2,0.44303817931137474
0.62,23.925,0.4567664027117557
0.63,24.025,0.49337084483622773
0.64,24.0,0.4984601653035716
0.65,23.775,0.5015190094008921
0.66,24.3,0.511328044703236
0.67,24.325,0.5166942497488322
0.68,24.35,0.5221447462609636
0.6900000000000001,24.45,0.5290924593000174
0.7000000000000001,24.375,0.5287712057384719
0.7100000000000001,24.425,0.5276381081904249
0.72,24.6,0.5328906587115224
0.73,24.975,0.5398825728314802
0.74,27.3,0.5281476574656082
0.75,27.325,0.5343002439063249
0.76,27.175,0.5405943294688719
0.77,27.275,0.5464111136540495
0.78,27.35,0.5532738705829179
0.79,24.95,0.5605834484463454
0.8,24.775,0.5684933950074904
0.81,24.8,0.5755002711398355
0.8200000000000001,24.9,0.5827449106149096
0.8300000000000001,25.775,0.5877070059709836
0.8400000000000001,27.0,0.5967835140383948
0.85,26.75,0.6071535764282191
0.86,27.75,0.6326711454657965
0.87,27.85,0.6412128202777694
0.88,29.875,0.6970908635244867
0.89,29.85,0.7058752419011687
0.9,27.5,0.7155145659095673
0.91,30.025,0.7249721222150204
0.92,30.175,0.7375131228544188
0.93,32.575,0.7446569062764563
0.9400000000000001,32.6,0.7068389179019816
0.9500000000000001,33.425,0.7189727118487694
0.9600000000000001,33.35,0.7296198929642906
0.97,33.775,0.7417426013331049
0.98,33.775,0.7529387926452716
0.99,33.85,0.7637409525525372
