mu,ber
0.001,4.75
0.002,4.1
0.003,4.0
0.004,3.675
0.005,3.55
0.006,4.025
0.007,5.0
0.008,5.2
0.009000000000000001,5.225
0.01,5.275
0.02,4.8
0.03,6.55
0.04,7.2
0.05,10.375
0.060000000000000005,9.6
0.06999999999999999,10.15
0.08,8.325
0.09,12.525
0.09999999999999999,12.325
0.11,8.625
0.12,8.025
0.13,8.35
0.14,8.675
0.15000000000000002,11.15
0.16,11.225
0.17,11.525
0.18000000000000002,10.675
0.19,10.475
0.2,10.95
0.21000000000000002,10.9
0.22,11.375
0.23,11.35
0.24000000000000002,11.35
0.25,11.2
0.26,13.0
0.27,13.05
0.28,12.675
0.29000000000000004,12.1
0.3,12.375
0.31,12.05
0.32,13.25
0.33,12.85
0.34,12.75
0.35000000000000003,12.5
0.36000000000000004,12.275
0.37,12.3
0.38,12.35
0.39,12.75
0.4,12.825
0.41000000000000003,13.5
0.42000000000000004,12.2
0.43,12.075
0.44,14.35
0.45,14.15
0.46,14.3
0.47000000000000003,14.65
0.48000000000000004,14.7
0.49,14.475
0.5,14.1
0.51,14.425
0.52,14.725
0.53,16.525
0.54,14.85
0.55,14.375
0.56,14.5
0.5700000000000001,16.45
0.5800000000000001,16.525
0.59,18.95
0.6,19.025
0.61,20.5
0.62,21.025
0.63,21.125
0.64,21.4
0.65,20.925
0.66,20.65
0.67,19.525
0.68,20.025
0.6900000000000001,20.2
0.7000000000000001,21.825
0.7100000000000001,21.85
0.72,22.9
0.73,22.6
0.74,21.25
0.75,21.225
0.76,21.35
0.77,22.075
0.78,22.025
0.79,21.325
0.8,23.25
0.81,23.25
0.8200000000000001,20.875
0.8300000000000001,21.425
0.8400000000000001,22.025
0.85,22.625
0.86,21.525
0.87,22.4
0.88,22.5
0.89,22.625
0.9,25.0
0.91,25.3
0.92,24.85
0.93,24.875
0.9400000000000001,25.525
0.9500000000000001,24.7
0.9600000000000001,23.45
0.97,23.875
0.98,24.5
0.99,25.3
