mu,ber
0.85,2.675
0.853,2.825
0.856,2.825
0.859,2.875
0.862,2.875
0.865,2.85
0.868,2.85
0.871,2.925
0.874,2.9
0.877,2.9
0.88,2.925
0.883,2.925
0.886,2.925
0.889,2.8
0.892,2.775
0.895,2.775
0.898,2.775
0.901,2.75
0.904,2.75
0.907,2.75
0.91,2.8
0.913,2.775
0.916,2.8
0.919,2.775
0.9219999999999999,2.7
0.925,2.7
0.9279999999999999,2.525
0.931,2.525
0.9339999999999999,2.475
0.9369999999999999,2.4
0.94,2.45
0.943,2.375
0.946,2.425
0.949,2.45
0.952,2.525
0.955,2.5
0.958,2.525
0.961,2.575
0.964,2.65
0.967,2.825
0.97,2.9
0.973,3.025
0.976,3.225
0.979,3.325
0.982,3.4
0.985,3.55
0.988,3.7
0.991,3.8
0.994,3.9
0.997,4.0
