mu,ber
0.85,3.65
0.853,3.7
0.856,3.65
0.859,3.5625
0.862,3.5875
0.865,3.6125
0.868,3.6125
0.871,3.675
0.874,3.675
0.877,3.6875
0.88,3.7375
0.883,3.725
0.886,3.7
0.889,3.7
0.892,3.575
0.895,3.5375
0.898,3.4875
0.901,3.4875
0.904,3.475
0.907,3.4625
0.91,3.475
0.913,3.55
0.916,3.5
0.919,3.4625
0.9219999999999999,3.3
0.925,3.25
0.9279999999999999,3.2375
0.931,3.325
0.9339999999999999,3.35
0.9369999999999999,3.3
0.94,3.425
0.943,3.35
0.946,3.2625
0.949,3.3
0.952,3.4
0.955,3.3875
0.958,3.3875
0.961,3.3
0.964,3.35
0.967,3.3375
0.97,3.425
0.973,3.5
0.976,3.7
0.979,3.95
0.982,3.9125
0.985,3.8875
0.988,4.0375
0.991,4.475
0.994,4.9375
0.997,5.4875
